시도교육청명,행정표준코드,학교명,학교과정명,분석단위ID,학교표시명,전체일수,방학일수,메인분석일수,휴업일수,수업일수,추론방학일수
부산광역시교육청,7181090,부산진중학교,중학교,C10_7181090_중학교,부산진중학교 (중학교),365,87,278,90,188,0
부산광역시교육청,7181091,분포중학교,중학교,C10_7181091_중학교,분포중학교 (중학교),365,81,284,96,188,0
부산광역시교육청,7181092,석포여자중학교,중학교,C10_7181092_중학교,석포여자중학교 (중학교),365,57,308,119,189,0
부산광역시교육청,7181093,성동중학교,중학교,C10_7181093_중학교,성동중학교 (중학교),365,83,282,92,190,0
부산광역시교육청,7181094,양동여자중학교,중학교,C10_7181094_중학교,양동여자중학교 (중학교),365,82,283,94,189,0
부산광역시교육청,7181095,오륙도중학교,중학교,C10_7181095_중학교,오륙도중학교 (중학교),365,74,291,102,189,0
부산광역시교육청,7181096,용문중학교,중학교,C10_7181096_중학교,용문중학교 (중학교),365,84,281,93,188,0
부산광역시교육청,7181097,용호중학교,중학교,C10_7181097_중학교,용호중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7181098,초연중학교,중학교,C10_7181098_중학교,초연중학교 (중학교),365,83,282,94,188,0
부산광역시교육청,7181099,초읍중학교,중학교,C10_7181099_중학교,초읍중학교 (중학교),365,81,284,96,188,0
부산광역시교육청,7181101,덕명여자중학교,중학교,C10_7181101_중학교,덕명여자중학교 (중학교),365,84,281,93,188,0
부산광역시교육청,7181102,동의중학교,중학교,C10_7181102_중학교,동의중학교 (중학교),365,81,284,94,190,0
부산광역시교육청,7181104,부산동여자중학교,중학교,C10_7181104_중학교,부산동여자중학교 (중학교),365,81,284,95,189,0
부산광역시교육청,7181105,부산동중학교,중학교,C10_7181105_중학교,부산동중학교 (중학교),365,84,281,92,189,0
부산광역시교육청,7181106,서면중학교,중학교,C10_7181106_중학교,서면중학교 (중학교),365,82,283,95,188,0
부산광역시교육청,7181107,선화여자중학교,중학교,C10_7181107_중학교,선화여자중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7181108,항도중학교,중학교,C10_7181108_중학교,항도중학교 (중학교),365,88,277,90,187,0
부산광역시교육청,7181109,해연중학교,중학교,C10_7181109_중학교,해연중학교 (중학교),365,82,283,94,189,0
부산광역시교육청,7181199,용소초등학교,초등학교,C10_7181199_초등학교,용소초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191010,거제여자중학교,중학교,C10_7191010_중학교,거제여자중학교 (중학교),365,72,293,105,188,0
부산광역시교육청,7191011,구서여자중학교,중학교,C10_7191011_중학교,구서여자중학교 (중학교),365,79,286,94,192,0
부산광역시교육청,7191012,금사중학교,중학교,C10_7191012_중학교,금사중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7191013,금양중학교,중학교,C10_7191013_중학교,금양중학교 (중학교),365,80,285,96,189,0
부산광역시교육청,7191014,남산중학교,중학교,C10_7191014_중학교,남산중학교 (중학교),365,84,281,93,188,0
부산광역시교육청,7191015,남일중학교,중학교,C10_7191015_중학교,남일중학교 (중학교),365,84,281,93,188,0
부산광역시교육청,7191016,부산내성중학교,중학교,C10_7191016_중학교,부산내성중학교 (중학교),365,84,281,93,188,0
부산광역시교육청,7191017,동래중학교,중학교,C10_7191017_중학교,동래중학교 (중학교),365,79,286,95,191,0
부산광역시교육청,7191018,동신중학교,중학교,C10_7191018_중학교,동신중학교 (중학교),365,81,284,96,188,0
부산광역시교육청,7191019,동현중학교,중학교,C10_7191019_중학교,동현중학교 (중학교),365,81,284,96,188,0
부산광역시교육청,7191020,부곡중학교,중학교,C10_7191020_중학교,부곡중학교 (중학교),365,78,287,98,189,0
부산광역시교육청,7191021,부곡여자중학교,중학교,C10_7191021_중학교,부곡여자중학교 (중학교),365,86,279,91,188,0
부산광역시교육청,7191022,사직중학교,중학교,C10_7191022_중학교,사직중학교 (중학교),365,81,284,95,189,0
부산광역시교육청,7191023,사직여자중학교,중학교,C10_7191023_중학교,사직여자중학교 (중학교),365,80,285,96,189,0
부산광역시교육청,7191024,안락중학교,중학교,C10_7191024_중학교,안락중학교 (중학교),365,79,286,98,188,0
부산광역시교육청,7191025,여명중학교,중학교,C10_7191025_중학교,여명중학교 (중학교),365,87,278,90,188,0
부산광역시교육청,7191026,연산중학교,중학교,C10_7191026_중학교,연산중학교 (중학교),365,87,278,90,188,0
부산광역시교육청,7191027,연일중학교,중학교,C10_7191027_중학교,연일중학교 (중학교),365,58,307,117,190,0
부산광역시교육청,7191028,연제중학교,중학교,C10_7191028_중학교,연제중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7191029,연천중학교,중학교,C10_7191029_중학교,연천중학교 (중학교),365,24,341,111,230,0
부산광역시교육청,7191030,온천중학교,중학교,C10_7191030_중학교,온천중학교 (중학교),365,25,340,111,229,0
부산광역시교육청,7191031,유락여자중학교,중학교,C10_7191031_중학교,유락여자중학교 (중학교),365,84,281,93,188,0
부산광역시교육청,7191033,장전중학교,중학교,C10_7191033_중학교,장전중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7191034,충렬중학교,중학교,C10_7191034_중학교,충렬중학교 (중학교),365,82,283,95,188,0
부산광역시교육청,7191035,토현중학교,중학교,C10_7191035_중학교,토현중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7191036,거성중학교,중학교,C10_7191036_중학교,거성중학교 (중학교),365,82,283,93,190,0
부산광역시교육청,7191037,금정중학교,중학교,C10_7191037_중학교,금정중학교 (중학교),365,81,284,96,188,0
부산광역시교육청,7191038,동래여자중학교,중학교,C10_7191038_중학교,동래여자중학교 (중학교),365,82,283,94,189,0
부산광역시교육청,7191039,동해중학교,중학교,C10_7191039_중학교,동해중학교 (중학교),365,75,290,95,195,0
부산광역시교육청,7191040,이사벨중학교,중학교,C10_7191040_중학교,이사벨중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7191041,학산여자중학교,중학교,C10_7191041_중학교,학산여자중학교 (중학교),365,85,280,92,188,0
부산광역시교육청,7191042,혜화여자중학교,중학교,C10_7191042_중학교,혜화여자중학교 (중학교),365,86,279,91,188,0
부산광역시교육청,7191043,부산예술중학교,중학교,C10_7191043_중학교,부산예술중학교 (중학교),365,68,297,109,188,0
부산광역시교육청,7191045,거제초등학교,초등학교,C10_7191045_초등학교,거제초등학교 (초등학교),365,86,279,91,188,0
부산광역시교육청,7191046,거학초등학교,초등학교,C10_7191046_초등학교,거학초등학교 (초등학교),365,82,283,95,188,0
부산광역시교육청,7191047,공덕초등학교,초등학교,C10_7191047_초등학교,공덕초등학교 (초등학교),365,83,282,94,188,0
부산광역시교육청,7191048,과정초등학교,초등학교,C10_7191048_초등학교,과정초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191049,교동초등학교,초등학교,C10_7191049_초등학교,교동초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191050,구서초등학교,초등학교,C10_7191050_초등학교,구서초등학교 (초등학교),365,84,281,92,189,0
부산광역시교육청,7191051,금강초등학교,초등학교,C10_7191051_초등학교,금강초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191052,금사초등학교,초등학교,C10_7191052_초등학교,금사초등학교 (초등학교),365,85,280,90,190,0
부산광역시교육청,7191053,금샘초등학교,초등학교,C10_7191053_초등학교,금샘초등학교 (초등학교),365,82,283,93,190,0
부산광역시교육청,7191054,금성초등학교,초등학교,C10_7191054_초등학교,금성초등학교 (초등학교),365,83,282,93,189,0
부산광역시교육청,7191055,금양초등학교,초등학교,C10_7191055_초등학교,금양초등학교 (초등학교),365,84,281,92,189,0
부산광역시교육청,7191056,금정초등학교,초등학교,C10_7191056_초등학교,금정초등학교 (초등학교),365,86,279,91,188,0
부산광역시교육청,7191057,낙민초등학교,초등학교,C10_7191057_초등학교,낙민초등학교 (초등학교),365,82,283,95,188,0
부산광역시교육청,7191058,남문초등학교,초등학교,C10_7191058_초등학교,남문초등학교 (초등학교),365,82,283,95,188,0
부산광역시교육청,7191059,남산초등학교,초등학교,C10_7191059_초등학교,남산초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191060,내산초등학교,초등학교,C10_7191060_초등학교,내산초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191061,내성초등학교,초등학교,C10_7191061_초등학교,내성초등학교 (초등학교),365,80,285,97,188,0
부산광역시교육청,7191062,달북초등학교,초등학교,C10_7191062_초등학교,달북초등학교 (초등학교),365,84,281,93,188,0
