시도교육청코드,시도교육청명,행정표준코드,학교명,학교과정명,분석단위ID,학교표시명,분석일수,휴업일수,수업일수,평균기억점수,평균위험점수,최대위험점수,최저기억점수,고위험일수,휴업일비율,고위험일비율,최종위험지수,위험등급,방학일수,추론방학일수,위험백분위,상대위험등급
B10,서울특별시교육청,7010565,서울산업정보학교,고등학교,B10_7010565_고등학교,서울산업정보학교 (고등학교),287,134,153,68.3871602039575,31.612839796042497,69.38779821288453,30.612201787115463,8,46.68989547038328,2.7874564459930316,22.965224791027655,낮음,78,0,99.68329374505146,상위 5%
T10,제주특별자치도교육청,9296201,제주제일중학교부설방송통신중학교,중학교,T10_9296201_중학교,제주제일중학교부설방송통신중학교 (중학교),289,120,169,71.97662943100961,28.02337056899038,81.48711030017064,18.512889699829362,31,41.522491349480966,10.726643598615917,22.834352477878042,낮음,76,0,99.67537608867775,상위 5%
B10,서울특별시교육청,7011208,서초문화예술정보학교,고등학교,B10_7011208_고등학교,서초문화예술정보학교 (고등학교),283,130,153,68.6648986718161,31.335101328183892,74.33665304968731,25.66334695031269,8,45.936395759717314,2.8268551236749118,22.782627466831197,낮음,82,0,99.66745843230403,상위 5%
B10,서울특별시교육청,7010566,아현산업정보학교,고등학교,B10_7010566_고등학교,아현산업정보학교 (고등학교),344,153,191,69.34334763699145,30.656652363008536,74.33668258477759,25.663317415222412,8,44.47674418604651,2.3255813953488373,22.157331072710626,낮음,21,0,99.65954077593032,상위 5%
G10,대전광역시교육청,7430150,대전구봉고등학교,고등학교,G10_7430150_고등학교,대전구봉고등학교 (고등학교),314,126,188,72.00316387488053,27.99683612511947,81.97889366070555,18.021106339294455,25,40.12738853503185,7.961783439490445,21.98632031943076,낮음,51,0,99.6516231195566,상위 5%
B10,서울특별시교육청,7010389,수도여자고등학교부설방송통신고등학교,고등학교,B10_7010389_고등학교,수도여자고등학교부설방송통신고등학교 (고등학교),300,134,166,69.73677699721682,30.263223002783178,65.48976162259275,34.51023837740725,7,44.666666666666664,2.3333333333333335,21.88425610194822,낮음,65,0,99.6437054631829,상위 5%
M10,충청북도교육청,8000062,진천고등학교,고등학교,M10_8000062_고등학교,진천고등학교 (고등학교),311,125,186,72.77864948585811,27.22135051414188,84.33072110507669,15.669278894923304,26,40.19292604501607,8.360128617363344,21.562983945108318,낮음,54,0,99.63578780680919,상위 5%
B10,서울특별시교육청,7010390,영등포고등학교부설방송통신고등학교,고등학교,B10_7010390_고등학교,영등포고등학교부설방송통신고등학교 (고등학교),287,121,166,70.31134722944283,29.688652770557173,65.48976162259275,34.51023837740725,6,42.1602787456446,2.0905923344947737,21.409234639738454,낮음,78,0,99.62787015043547,상위 5%
D10,대구광역시교육청,7251015,불로중학교,중학교,D10_7251015_중학교,불로중학교 (중학교),326,138,188,73.22723207126482,26.772767928735174,82.95088068728037,17.04911931271963,28,42.331288343558285,8.588957055214724,21.317624666679038,낮음,39,0,99.61995249406176,상위 5%
B10,서울특별시교육청,7010340,서울여자상업고등학교,고등학교,B10_7010340_고등학교,서울여자상업고등학교 (고등학교),308,121,187,73.32241221109672,26.67758778890328,81.250811739393,18.749188260606996,25,39.285714285714285,8.116883116883116,21.10937638729723,낮음,57,0,99.61203483768804,상위 5%
K10,강원특별자치도교육청,7801132,민족사관고등학교,고등학교,K10_7801132_고등학교,민족사관고등학교 (고등학교),306,123,183,73.13823762080212,26.86176237919789,81.11407029398987,18.885929706010124,23,40.19607843137255,7.516339869281046,21.058135626222835,낮음,59,0,99.60411718131434,상위 5%
E10,인천광역시교육청,7310077,세일고등학교,고등학교,E10_7310077_고등학교,세일고등학교 (고등학교),319,131,188,73.26376480029495,26.73623519970506,82.97092776669129,17.029072233308714,23,41.06583072100313,7.210031347962382,20.878374044182255,낮음,46,0,99.59619952494062,상위 5%
N10,충청남도교육청,8261102,홍성여자중학교부설방송통신중학교,중학교,N10_8261102_중학교,홍성여자중학교부설방송통신중학교 (중학교),284,114,170,72.91258960371692,27.08741039628307,73.1451899354659,26.854810064534103,18,40.140845070422536,6.338028169014084,20.86259572810237,낮음,81,0,99.58828186856691,상위 5%
B10,서울특별시교육청,7031172,예일초등학교,초등학교,B10_7031172_초등학교,예일초등학교 (초등학교),307,119,188,73.68472926153352,26.315270738466477,80.94532862893283,19.05467137106717,24,38.762214983713356,7.81758957654723,20.765966389890703,낮음,58,0,99.58036421219319,상위 5%
D10,대구광역시교육청,8862006,부계중학교,중학교,D10_8862006_중학교,부계중학교 (중학교),324,136,188,73.64559318672877,26.354406813271233,82.97092776669129,17.029072233308714,24,41.9753086419753,7.4074074074074066,20.67030699151208,낮음,41,0,99.57244655581948,상위 5%
G10,대전광역시교육청,7430330,새소리음악고등학교,고등학교,G10_7430330_고등학교,새소리음악고등학교 (고등학교),312,120,192,73.24597680386302,26.754023196136984,80.63602469654084,19.36397530345916,20,38.46153846153847,6.41025641025641,20.65089316037281,낮음,53,0,99.56452889944576,상위 5%
D10,대구광역시교육청,7240096,영송여자고등학교,고등학교,D10_7240096_고등학교,영송여자고등학교 (고등학교),307,120,187,73.71848755739344,26.281512442606562,80.75836569653661,19.241634303463385,23,39.08794788273616,7.491856677524431,20.64461571308192,낮음,58,0,99.55661124307204,상위 5%
M10,충청북도교육청,8000216,제천제일고등학교,고등학교,M10_8000216_고등학교,제천제일고등학교 (고등학교),306,119,187,73.75216096266774,26.24783903733226,80.75836569653661,19.241634303463385,23,38.88888888888889,7.516339869281046,20.628389286916892,낮음,59,0,99.54869358669833,상위 5%
D10,대구광역시교육청,7271042,효성중학교,중학교,D10_7271042_중학교,효성중학교 (중학교),307,119,188,73.9024041377564,26.097595862243594,80.75836569653661,19.241634303463385,23,38.762214983713356,7.491856677524431,20.515874106827845,낮음,58,0,99.54077593032463,상위 5%
R10,경상북도교육청,8791065,영가초등학교,초등학교,R10_8791065_초등학교,영가초등학교 (초등학교),308,120,188,73.84615190815693,26.15384809184307,79.67199561844602,20.32800438155398,22,38.961038961038966,7.142857142857142,20.45055080714729,낮음,57,0,99.53285827395091,상위 5%
M10,충청북도교육청,8000268,양청고등학교,고등학교,M10_8000268_고등학교,양청고등학교 (고등학교),324,136,188,73.647204485495,26.352795514505004,80.81736173787954,19.18263826212047,21,41.9753086419753,6.481481481481481,20.391401304597945,낮음,41,0,99.5249406175772,상위 5%
R10,경상북도교육청,8831058,상주초등학교,초등학교,R10_8831058_초등학교,상주초등학교 (초등학교),309,121,188,73.84755582773086,26.15244417226914,80.81736173787954,19.18263826212047,21,39.15857605177994,6.796116504854369,20.34554587204471,낮음,56,0,99.51702296120348,상위 5%
M10,충청북도교육청,8000057,제천고등학교,고등학교,M10_8000057_고등학교,제천고등학교 (고등학교),309,121,188,73.88693805257367,26.113061947426335,80.81736173787954,19.18263826212047,21,39.15857605177994,6.796116504854369,20.317978314654745,낮음,56,0,99.50910530482977,상위 5%
M10,충청북도교육청,7003851,한국교원대학교부설고등학교,고등학교,M10_7003851_고등학교,한국교원대학교부설고등학교 (고등학교),307,119,188,73.92379093528919,26.076209064710802,79.67199561844602,20.32800438155398,21,38.762214983713356,6.840390879478828,20.30546360914121,낮음,58,0,99.50118764845605,상위 5%
E10,인천광역시교육청,7341082,신송중학교,중학교,E10_7341082_중학교,신송중학교 (중학교),311,120,191,74.06255879616378,25.93744120383622,79.67199561844602,20.32800438155398,22,38.58520900321543,7.07395498392283,20.2783953378622,낮음,54,0,99.49326999208235,상위 5%
D10,대구광역시교육청,7240057,다사고등학교,고등학교,D10_7240057_고등학교,다사고등학교 (고등학교),320,133,187,73.9307586828005,26.06924131719949,80.75836569653661,19.241634303463385,21,41.5625,6.5625,20.217218922039642,낮음,45,0,99.48535233570863,상위 5%
R10,경상북도교육청,8881023,구천중학교,중학교,R10_8881023_중학교,구천중학교 (중학교),305,117,188,74.23496507657111,25.765034923428892,79.67199561844602,20.32800438155398,22,38.36065573770492,7.213114754098362,20.199458872629734,낮음,60,0,99.47743467933492,상위 5%
