분석단위ID,detail_file
B10_7010958_고등학교,details/detail_part_000.parquet
B10_7010959_고등학교,details/detail_part_000.parquet
B10_7010960_고등학교,details/detail_part_000.parquet
B10_7010962_고등학교,details/detail_part_000.parquet
B10_7010964_고등학교,details/detail_part_000.parquet
B10_7010965_고등학교,details/detail_part_000.parquet
B10_7010966_고등학교,details/detail_part_000.parquet
B10_7010983_고등학교,details/detail_part_000.parquet
B10_7010984_고등학교,details/detail_part_000.parquet
B10_7010985_고등학교,details/detail_part_000.parquet
B10_7011084_고등학교,details/detail_part_000.parquet
B10_7011085_고등학교,details/detail_part_000.parquet
B10_7011087_고등학교,details/detail_part_000.parquet
B10_7011088_고등학교,details/detail_part_000.parquet
B10_7011089_고등학교,details/detail_part_000.parquet
B10_7011096_고등학교,details/detail_part_000.parquet
B10_7011109_고등학교,details/detail_part_000.parquet
B10_7011111_고등학교,details/detail_part_000.parquet
B10_7011112_고등학교,details/detail_part_000.parquet
B10_7011113_고등학교,details/detail_part_000.parquet
B10_7011120_고등학교,details/detail_part_000.parquet
B10_7011122_고등학교,details/detail_part_000.parquet
B10_7011125_고등학교,details/detail_part_000.parquet
B10_7011138_고등학교,details/detail_part_000.parquet
B10_7011139_중학교,details/detail_part_000.parquet
B10_7011140_고등학교,details/detail_part_000.parquet
B10_7011142_고등학교,details/detail_part_000.parquet
B10_7011143_중학교,details/detail_part_000.parquet
B10_7011144_고등학교,details/detail_part_000.parquet
B10_7011145_중학교,details/detail_part_000.parquet
B10_7011148_고등학교,details/detail_part_000.parquet
B10_7011149_고등학교,details/detail_part_000.parquet
B10_7011150_고등학교,details/detail_part_000.parquet
B10_7011169_고등학교,details/detail_part_000.parquet
B10_7011179_고등학교,details/detail_part_000.parquet
B10_7011180_고등학교,details/detail_part_000.parquet
B10_7011184_고등학교,details/detail_part_000.parquet
B10_7011186_고등학교,details/detail_part_000.parquet
B10_7011207_고등학교,details/detail_part_000.parquet
B10_7011208_고등학교,details/detail_part_000.parquet
B10_7011213_고등학교,details/detail_part_000.parquet
B10_7011309_고등학교,details/detail_part_000.parquet
B10_7011309_중학교,details/detail_part_000.parquet
B10_7011309_초등학교,details/detail_part_000.parquet
B10_7011312_고등학교,details/detail_part_000.parquet
B10_7011315_고등학교,details/detail_part_000.parquet
B10_7011316_고등학교,details/detail_part_000.parquet
B10_7011317_고등학교,details/detail_part_000.parquet
B10_7011318_고등학교,details/detail_part_000.parquet
B10_7011319_고등학교,details/detail_part_000.parquet
B10_7011320_고등학교,details/detail_part_000.parquet
B10_7011457_고등학교,details/detail_part_000.parquet
